"Country","Year","Emission"
"Madagascar","2013","0.134205995779984"
"Malawi","2013","0.0785941381802711"
"Malaysia","2013","8.02672706796303"
"Maldives","2013","2.66860559796438"
"Mali","2013","0.061882473324499"
"Malta","2013","5.24013047565509"
"Marshall Is.","2013","1.94513696813549"
"Mauritania","2013","0.683653507489896"
"Mauritius","2013","2.960046970849"
"Mexico","2013","3.94861524649215"
"Micronesia","2013","1.4142193254787"
"Middle East & North Africa (all income levels)","2013","5.97237373710597"
"Middle East & North Africa (developing only)","2013","3.94545074295388"
"Middle income","2013","3.85366782063177"
"Moldova","2013","1.39834950370458"
"Mongolia","2013","14.5465487584876"
"Montenegro","2013","3.61855387978564"
"Morocco","2013","1.75048194934183"
"Mozambique","2013","0.15184964926373"
"Myanmar","2013","0.237874069086249"
"Namibia","2013","1.25640418104212"
"Nepal","2013","0.233576268652743"
"Netherlands","2013","10.1147592492266"
"New Caledonia","2013","14.6819429657795"
"New Zealand","2013","7.64505234010941"
"Nicaragua","2013","0.76847528426684"
"Niger","2013","0.106860920526505"
"Nigeria","2013","0.553477350778919"
"North America","2013","16.1020899556359"
"Norway","2013","11.7403242327236"
"OECD members","2013","9.6547168018474"
"Oman","2013","15.6604231167736"
"Pakistan","2013","0.846439474149519"
"Palau","2013","10.6930063578565"
"Panama","2013","2.72301765543793"
"Papua New Guinea","2013","0.830847584522027"
"Paraguay","2013","0.769054524752195"
"Peru","2013","1.86988385354306"
"Philippines","2013","1.00683860344881"
"Poland","2013","7.94772847647788"
"Portugal","2013","4.42398077131801"
"Qatar","2013","40.4623554695977"
"Romania","2013","3.53970760059214"
"Russia","2013","12.4668162845481"
"Rwanda","2013","0.0721609626925929"
"American Samoa","2013","1.25193024843742"
"Sao Tome and Principe","2013","0.623277005910541"
"Saudi Arabia","2013","17.9274848083929"
"Senegal","2013","0.592298341591168"
"Serbia","2013","6.26306327130767"
"Seychelles","2013","7.17899888765295"
"Sierra Leone","2013","0.192879462049547"
"Singapore","2013","9.36384738965047"
"Slovakia","2013","6.2211866014531"
"Slovenia","2013","7.0101822711489"
"Solomon Islands","2013","0.353171566922604"
"Somalia","2013","0.0607109922452491"
"South Africa","2013","8.85916909346285"
"South Asia","2013","1.35610885246245"
"Spain","2013","5.08298252393364"
"Sri Lanka","2013","0.778696243743622"
"St. Kitts and Nevis","2013","5.1323548369275"
"St. Lucia","2013","2.23272537780094"
"St. Vincent and the Grenadines","2013","1.91186989490245"
"Sub-Saharan Africa (all income levels)","2013","0.826994217572137"
"Sub-Saharan Africa (developing only)","2013","0.826391813041268"
"Sudan","2013","0.309100309482467"
"Suriname","2013","3.93887149686006"
"Swaziland","2013","0.870832637023734"
"Sweden","2013","4.61718188417353"
"Switzerland","2013","4.98779518146461"
"Syria","2013","1.8664650753654"
"Tajikistan","2013","0.442107108401564"
"Tanzania","2013","0.21411877696451"
"Thailand","2013","4.4938694843231"
"Timor-Leste","2013","0.372893449450837"
"Togo","2013","0.321781847409312"
"Tonga","2013","1.98802537593091"
"Trinidad and Tobago","2013","34.5202367531003"
"Tunisia","2013","2.54145179809856"
"Turkey","2013","4.24345263809827"
"Turkmenistan","2013","12.7657043164161"
"Turks and Caicos Islands","2013","5.98187475455397"
"Uganda","2013","0.133852656304432"
"Ukraine","2013","5.95963275122226"
"United Arab Emirates","2013","18.7082357943791"
"United Kingdom","2013","7.13372170937646"
"United States","2013","16.389757994879"
"Upper middle income","2013","6.5540189124725"
"Uruguay","2013","2.23163943099248"
"Uzbekistan","2013","3.41319866945297"
"Vanuatu","2013","0.420054114905299"
"Venezuela","2013","6.1280086286039"
"Vietnam","2013","1.70036828413706"
"West Bank and Gaza","2013","0.584854656642777"
"World","2013","4.99555900911703"
"Yemen","2013","0.99267961416691"
"Zambia","2013","0.250863139562508"
"Zimbabwe","2013","0.92498999200703"

